month,station,prog_type,name,label,party,time
2018-02-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.683333333333334
2018-02-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.8
2018-02-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.6333333333333333
2018-02-01,France 2,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.5166666666666666
2018-02-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.8
2018-02-01,Canal +,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.0833333333333333
2018-02-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.35
2018-02-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,14.366666666666667
2018-02-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.85
2018-02-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.3
2018-02-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.1
2018-02-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.3333333333333335
2018-02-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.15
2018-02-01,C8,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2018-02-01,C8,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.2666666666666666
2018-02-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.15
2018-02-01,Numéro 23,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.15
2018-02-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.5333333333333334
2018-02-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.9666666666666666
2018-04-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,67.9
2018-04-01,TF1,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.55
2018-04-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,19.083333333333332
2018-04-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.833333333333334
2018-04-01,France 2,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.2333333333333334
2018-04-01,France 2,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.233333333333333
2018-04-01,France 2,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.5833333333333333
2018-04-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.833333333333334
2018-04-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.7333333333333334
2018-04-01,Canal +,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.033333333333333
2018-04-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,18.666666666666668
2018-04-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.85
2018-04-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,50.6
2018-04-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,17.833333333333332
