month,station,prog_type,name,label,party,time
2021-02-01,BFM TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,65.8
2021-02-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,54.55
2021-02-01,BFM TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,14.5
2021-02-01,BFM TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.433333333333333
2021-02-01,C NEWS,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.266666666666667
2021-02-01,C NEWS,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,31.3
2021-02-01,C NEWS,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5.166666666666667
2021-02-01,LCI,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,16.066666666666666
2021-02-01,LCI,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7.983333333333333
2021-02-01,LCI,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,67.28333333333333
2021-02-01,LCI,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,54.43333333333333
2021-02-01,France Info TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,67
2021-02-01,France Info TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,13.75
2021-01-01,BFM TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,84.78333333333333
2021-01-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.2333333333333334
2021-01-01,BFM TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.516666666666667
2021-01-01,C NEWS,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,14.333333333333334
2021-01-01,C NEWS,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9.666666666666666
2021-01-01,C NEWS,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,27.3
2021-01-01,C NEWS,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,22.083333333333332
2021-01-01,LCI,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.133333333333334
2021-01-01,LCI,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.85
2021-01-01,LCI,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,50.483333333333334
2021-01-01,LCI,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,50.416666666666664
2021-01-01,France Info TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,50.833333333333336
2021-01-01,France Info TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7.516666666666667
2021-01-01,France Info TV,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2
2021-04-01,BFM TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,140.73333333333332
2021-04-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5.833333333333333
2021-04-01,BFM TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,15.516666666666667
2021-04-01,C NEWS,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,59.3
2021-04-01,C NEWS,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,106.18333333333334
2021-04-01,C NEWS,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.2666666666666666
2021-04-01,LCI,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.633333333333333
2021-04-01,LCI,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6.75
2021-04-01,LCI,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,48.53333333333333
2021-04-01,LCI,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,34.36666666666667
2021-04-01,France Info TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,88.58333333333333
