month,station,prog_type,name,label,party,time
2020-02-01,TF1,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.1833333333333333
2020-02-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.65
2020-02-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.1
2020-02-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.933333333333334
2020-02-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,10.533333333333333
2020-02-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.05
2020-02-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.166666666666666
2020-02-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.85
2020-02-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.1666666666666667
2020-02-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.083333333333334
2020-02-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.4833333333333334
2020-01-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.3
2020-01-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.55
2020-01-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.0166666666666666
2020-01-01,France 3,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.8833333333333333
2020-01-01,France 3,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.45
2020-01-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.233333333333333
2020-01-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.4
2020-01-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.383333333333333
2020-01-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.016666666666667
2020-01-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.433333333333334
2020-01-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.4
2020-01-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.6666666666666667
2020-01-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.5166666666666666
2020-01-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.75
2020-01-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,19.85
2020-01-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.5166666666666666
2020-01-01,RMC Découverte,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,10.5
2020-01-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.1166666666666667
2020-03-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,60.833333333333336
2020-03-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,31.833333333333332
2020-03-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.1
2020-03-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,27.483333333333334
2020-03-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.45
2020-03-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8.9
2020-03-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,10.5
2020-03-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6.666666666666667
2020-03-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5.283333333333333
2020-03-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.066666666666667
2020-03-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,63.61666666666667
2020-03-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.75
2020-03-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.3833333333333333
2020-03-01,C8,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.0666666666666667
2020-03-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.933333333333334
2020-03-01,RMC Story,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.1666666666666665
2020-03-01,RMC Découverte,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.883333333333334
2020-04-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,29.016666666666666
2020-04-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,37.71666666666667
2020-04-01,France 2,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.7166666666666666
2020-04-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,28.8
2020-04-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,41.63333333333333
2020-04-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5.35
2020-04-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9.133333333333333
2020-04-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,27.3
2020-04-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.2666666666666666
2020-04-01,C8,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,27.466666666666665
2020-04-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,44.8
2020-04-01,RMC Story,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-04-01,RMC Story,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.4166666666666665
2020-04-01,RMC Découverte,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.9166666666666667
2020-09-01,BFM TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,185.95
2020-09-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,14.283333333333333
2020-09-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.7666666666666666
2020-09-01,BFM TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,27.533333333333335
2020-09-01,BFM TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.3333333333333333
2020-09-01,CNEWS,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,16.516666666666666
2020-09-01,CNEWS,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6.3
2020-09-01,CNEWS,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,55.78333333333333
2020-09-01,CNEWS,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6.3
2020-09-01,LCI,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,123.23333333333333
2020-09-01,LCI,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.6
2020-09-01,LCI,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,248.13333333333333
2020-09-01,LCI,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,35.333333333333336
2020-09-01,France Info TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,209.61666666666667
2020-09-01,France Info TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,13.033333333333333
2020-02-01,BFM TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,209.78333333333333
2020-02-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,47.38333333333333
2020-02-01,BFM TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,93.88333333333334
2020-02-01,BFM TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7.583333333333333
2020-02-01,CNEWS,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,46.63333333333333
2020-02-01,CNEWS,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,16
2020-02-01,CNEWS,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,184.85
2020-02-01,CNEWS,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9.466666666666667
2020-02-01,LCI,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,42.95
2020-02-01,LCI,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,12.25
2020-02-01,LCI,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,226.53333333333333
2020-02-01,LCI,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,128.9
2020-02-01,France Info TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,279.68333333333334
2020-02-01,France Info TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,32.43333333333333
2020-02-01,France Info TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.016666666666667
2020-02-01,France Info TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.4833333333333334
2020-02-01,France Info TV,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.9166666666666665
2020-02-01,France Info TV,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.1333333333333333
2020-04-01,BFM TV,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,152.21666666666667
2020-04-01,BFM TV,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,23.733333333333334
2020-04-01,CNEWS,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,58.55
2020-04-01,CNEWS,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,20.9
2020-04-01,CNEWS,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,20.5
2020-04-01,CNEWS,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,17.933333333333334
2020-04-01,LCI,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,128.33333333333334
2020-04-01,LCI,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,79.25
2020-04-01,LCI,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,42.61666666666667
2020-04-01,France Info TV,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,145.55
2020-04-01,France Info TV,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.2
2020-04-01,France Info TV,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.816666666666666
