type,constituency,station,candidat,date_start,date_end,time_candidat,time_support,time_mention
presidential,national,C8,Roussel Fabien,2022-01-01,2022-01-16,0.1,0,0
presidential,national,C8,Roussel Fabien,2022-01-16,2022-01-30,1.9333,0,0
presidential,national,C8,Taubira Christiane,2022-01-01,2022-01-16,0.5333,0,1.7
presidential,national,C8,Taubira Christiane,2022-01-16,2022-01-30,1.45,0,0.1667
presidential,national,C8,Zemmour Eric,2022-01-01,2022-01-16,17.7667,14.0667,4.4167
presidential,national,C8,Zemmour Eric,2022-01-16,2022-01-30,27.6,12.3,0.5333
presidential,national,C NEWS,Arthaud Nathalie,2022-01-16,2022-01-30,0.6667,0,0
presidential,national,C NEWS,Dupont Aignan Nicolas,2022-01-01,2022-01-16,27.8167,0,0.1167
presidential,national,C NEWS,Dupont Aignan Nicolas,2022-01-16,2022-01-30,39.25,0,6.9833
presidential,national,C NEWS,Hidalgo Anne,2022-01-01,2022-01-16,81.1333,55.3667,21.25
presidential,national,C NEWS,Hidalgo Anne,2022-01-16,2022-01-30,106.35,150.05,42.8833
presidential,national,C NEWS,Jadot Yannick,2022-01-01,2022-01-16,31.4167,68.4,5.4167
presidential,national,C NEWS,Jadot Yannick,2022-01-16,2022-01-30,205.3333,60.15,33.85
presidential,national,C NEWS,Koenig Gaspard,2022-01-01,2022-01-16,21.4833,0,0
presidential,national,C NEWS,Koenig Gaspard,2022-01-16,2022-01-30,19.3833,0,0.65
presidential,national,C NEWS,Kuzmanovic Georges,2022-01-16,2022-01-30,10.7833,0,0
presidential,national,C NEWS,Larrouturou Pierre,2022-01-16,2022-01-30,6.8333,0,0
presidential,national,C NEWS,Lassalle Jean,2022-01-16,2022-01-30,0.2167,1.7833,15.3167
presidential,national,C NEWS,Le Pen Marine,2022-01-01,2022-01-16,53.4333,231.9667,159.5667
presidential,national,C NEWS,Le Pen Marine,2022-01-16,2022-01-30,149.6167,398.8,213.2833
presidential,national,C NEWS,Macron Emmanuel,2022-01-01,2022-01-16,70.75,338.9333,338.3333
presidential,national,C NEWS,Macron Emmanuel,2022-01-16,2022-01-30,9.8833,422.0333,278.8333
presidential,national,C NEWS,Melenchon Jean Luc,2022-01-01,2022-01-16,154.9167,228.7667,79.5333
presidential,national,C NEWS,Melenchon Jean Luc,2022-01-16,2022-01-30,42.1,135.65,40.8167
presidential,national,C NEWS,Montebourg Arnaud,2022-01-01,2022-01-16,0,13.3333,0
presidential,national,C NEWS,Montebourg Arnaud,2022-01-16,2022-01-30,3.15,0,0
presidential,national,C NEWS,Pecresse Valerie,2022-01-01,2022-01-16,51.7833,523.5667,152.0833
