month,media,tv,radio,prog_type,nom,appartenance,party_abb,time,path
2021-09-01,BFM TV,TRUE,FALSE,JT,Mignola Patrick,Mouvement Démocrate,MODEM,1,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-09-01,LCI,TRUE,FALSE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,1,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-10-01,France Info TV,TRUE,FALSE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,20,../raw_data/final/2021//Personnalites_Chaine_d_information_01-10-2021_31-10-2021.xlsx
2021-10-01,France 2,TRUE,FALSE,JT,Mignola Patrick,Mouvement Démocrate,MODEM,9,../raw_data/final/2021//Personnalites_Chaine_generaliste_01-10-2021_31-10-2021.xlsx
2021-07-01,France Info,FALSE,TRUE,JT,Mignola Patrick,Mouvement Démocrate,MODEM,3,../raw_data/final/2021//Personnalites_Radio_01-07-2021_31-07-2021.xlsx
2021-07-01,France Info,FALSE,TRUE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,12,../raw_data/final/2021//Personnalites_Radio_01-07-2021_31-07-2021.xlsx
2021-08-01,France Info,FALSE,TRUE,JT,Mignola Patrick,Mouvement Démocrate,MODEM,3,../raw_data/final/2021//Personnalites_Radio_01-08-2021_31-08-2021.xlsx
2021-08-01,France Info,FALSE,TRUE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,13,../raw_data/final/2021//Personnalites_Radio_01-08-2021_31-08-2021.xlsx
2021-10-01,France Info,FALSE,TRUE,JT,Mignola Patrick,Mouvement Démocrate,MODEM,22,../raw_data/final/2021//Personnalites_Radio_01-10-2021_31-10-2021.xlsx
2021-10-01,France Info,FALSE,TRUE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,17,../raw_data/final/2021//Personnalites_Radio_01-10-2021_31-10-2021.xlsx
2021-11-01,France Info,FALSE,TRUE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,1,../raw_data/final/2021//Personnalites_Radio_01-11-2021_30-11-2021.xlsx
2021-02-01,Sud Radio,FALSE,TRUE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,12,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-28%20f%C3%A9vrier%202021.xlsx
2021-04-01,France Info,FALSE,TRUE,MAG,Mignola Patrick,Mouvement Démocrate,MODEM,1,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-30-04-2021.xlsx
