month,media,tv,radio,prog_type,nom,appartenance,party_abb,time,path
2021-09-01,LCI,TRUE,FALSE,MAG,Morin Hervé,Les Centristes,NA,14,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-07-01,France 2,TRUE,FALSE,JT,Morin Hervé,Les Centristes,NA,15,../raw_data/final/2021//Personnalites_Chaine_generaliste_01-07-2021_31-07-2021.xlsx
2021-09-01,France Info,FALSE,TRUE,JT,Morin Hervé,Les Centristes,NA,1,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,France Info,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,11,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,Sud Radio,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,11,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-10-01,BFM,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,94.01666666666667,../raw_data/final/2021//Personnalites_Radio_01-10-2021_31-10-2021.xlsx
2021-02-01,France Info,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,14,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-28%20f%C3%A9vrier%202021.xlsx
2021-04-01,BFM,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,35,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-30-04-2021.xlsx
2021-01-01,France Info,FALSE,TRUE,JT,Morin Hervé,Les Centristes,NA,5,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20janvier%202021.xlsx
2021-01-01,Sud Radio,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,12,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20janvier%202021.xlsx
2021-03-01,France Info,FALSE,TRUE,JT,Morin Hervé,Les Centristes,NA,4,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-03-01,RTL,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,3,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-03-01,Sud Radio,FALSE,TRUE,MAG,Morin Hervé,Les Centristes,NA,10,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-02-01,France 2,TRUE,FALSE,JT,Morin Hervé,Les Centristes,NA,15,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-28-02-2021.xlsx
2021-04-01,France 2,TRUE,FALSE,JT,Morin Hervé,Les Centristes,NA,17,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-30-04-2021.xlsx
2021-01-01,France 5,TRUE,FALSE,PROG,Morin Hervé,Les Centristes,NA,18,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-31-01-2021.xlsx
2021-03-01,TF1,TRUE,FALSE,JT,Morin Hervé,Les Centristes,NA,2,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-31-03-2021.xlsx
2021-02-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Divers Droite,Droite,9,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,BFM TV,TRUE,FALSE,MAG,Nasrou Othman,Divers Droite,Droite,5,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,49,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,LCI,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,27,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-01-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,10,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-31-01-2021.xlsx
2021-01-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,5,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-31-01-2021.xlsx
2021-04-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Divers Droite,Droite,37,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-04-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Libres,Libres,14,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-04-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,5,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-04-01,LCI,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,1,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-06-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,2,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-06-2021.xlsx
2021-03-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Divers Droite,Droite,2,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-03-01,BFM TV,TRUE,FALSE,MAG,Nasrou Othman,Divers Droite,Droite,2,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-03-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,13,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-03-01,LCI,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,2,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-03-01,France Info TV,TRUE,FALSE,JT,Nasrou Othman,Libres,Libres,8,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-05-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,34,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-05-2021.xlsx
2021-05-01,LCI,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,16,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-05-2021.xlsx
2021-07-01,BFM TV,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,3,../raw_data/final/2021//Personnalites_Chaine_d_information_01-07-2021_31-07-2021.xlsx
2021-08-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Libres,Libres,3,../raw_data/final/2021//Personnalites_Chaine_d_information_01-08-2021_31-08-2021%20%281%29.xlsx
2021-08-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,41,../raw_data/final/2021//Personnalites_Chaine_d_information_01-08-2021_31-08-2021%20%281%29.xlsx
2021-08-01,LCI,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,3,../raw_data/final/2021//Personnalites_Chaine_d_information_01-08-2021_31-08-2021%20%281%29.xlsx
2021-09-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,8,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-09-01,LCI,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,2,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-10-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Libres,Libres,2,../raw_data/final/2021//Personnalites_Chaine_d_information_01-10-2021_31-10-2021.xlsx
2021-10-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Les Républicains,LR,19,../raw_data/final/2021//Personnalites_Chaine_d_information_01-10-2021_31-10-2021.xlsx
2021-11-01,BFM TV,TRUE,FALSE,JT,Nasrou Othman,Libres,Libres,5,../raw_data/final/2021//Personnalites_Chaine_d_information_01-11-2021_30-11-2021.xlsx
2021-11-01,CNEWS,TRUE,FALSE,MAG,Nasrou Othman,Libres,Libres,12,../raw_data/final/2021//Personnalites_Chaine_d_information_01-11-2021_30-11-2021.xlsx
2021-07-01,France Info,FALSE,TRUE,JT,Nasrou Othman,Libres,Libres,3,../raw_data/final/2021//Personnalites_Radio_01-07-2021_31-07-2021.xlsx
2021-09-01,Europe 1,FALSE,TRUE,MAG,Nasrou Othman,Libres,Libres,18,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-11-01,Sud Radio,FALSE,TRUE,MAG,Nasrou Othman,Libres,Libres,4,../raw_data/final/2021//Personnalites_Radio_01-11-2021_30-11-2021.xlsx
2021-02-01,RMC,FALSE,TRUE,MAG,Nasrou Othman,Divers Droite,Droite,9,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-28%20f%C3%A9vrier%202021.xlsx
2021-03-01,Sud Radio,FALSE,TRUE,MAG,Nasrou Othman,Libres,Libres,7,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-02-01,RMC Story,TRUE,FALSE,MAG,Nasrou Othman,Divers Droite,Droite,4,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-28-02-2021.xlsx
2021-01-01,France Info TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,8,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-31-01-2021.xlsx
2021-04-01,BFM TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,34,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-04-01,CNEWS,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,3,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-04-01,LCI,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,174.03333333333333,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-04-01,France Info TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,25,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-03-01,France Info TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,6,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-03-01,France Info TV,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,20,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-05-01,LCI,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,7,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-05-2021.xlsx
2021-05-01,France Info TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,34,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-05-2021.xlsx
2021-09-01,BFM TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,6,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-09-01,France Info TV,TRUE,FALSE,JT,Saint Martin Laurent,La République En Marche,LREM,14,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-09-01,LCI,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,4,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-11-01,LCI,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,1,../raw_data/final/2021//Personnalites_Chaine_d_information_01-11-2021_30-11-2021.xlsx
2021-09-01,RMC Découverte,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,10,../raw_data/final/2021//Personnalites_Chaine_generaliste_01-09-2021_30-09-2021.xlsx
2021-11-01,TMC,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,1,../raw_data/final/2021//Personnalites_Chaine_generaliste_01-11-2021_30-11-2021.xlsx
2021-07-01,BFM,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,46,../raw_data/final/2021//Personnalites_Radio_01-07-2021_31-07-2021.xlsx
2021-07-01,France Culture,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,11,../raw_data/final/2021//Personnalites_Radio_01-07-2021_31-07-2021.xlsx
2021-09-01,France Info,FALSE,TRUE,JT,Saint Martin Laurent,La République En Marche,LREM,1,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,BFM,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,10,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-10-01,France Info,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,1,../raw_data/final/2021//Personnalites_Radio_01-10-2021_31-10-2021.xlsx
2021-02-01,France Info,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,12,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-28%20f%C3%A9vrier%202021.xlsx
2021-02-01,BFM,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,32,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-28%20f%C3%A9vrier%202021.xlsx
2021-04-01,Sud Radio,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,10,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-30-04-2021.xlsx
2021-06-01,Sud Radio,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,1,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-30-06-2021.xlsx
